id,topic_id,question_text,image,question_type
72,6,A drawback of BOGOF,,multiple
73,6,A benefit of BOGOF,,multiple
74,6,An example of a business that is likely to use BOGOF,,multiple
75,6,An example of a business that uses loyalty schemes,,multiple
76,6,Providing good customer requires...,,multiple
77,6,Providing good customer requires...,,multiple
78,6,Providing good customer service requires...,,multiple
79,6,Providing good customer service requires...,,multiple
80,6,Argos is an example of a business that provides good customer service,,multiple
81,6,Ryan Air is an example of a business that provides good customer service,,multiple
82,6,The pricing strategy used by Apple for all Apple products,,multiple
83,6,The pricing strategy used by Sony for the PS4,,multiple
84,7,What is the name given to the share of profits paid by a franchisee to a franchisor each year?,,multiple
85,7,Which of the following would be included in a business plan for a start-up business?,,multiple
86,7,Which of the following best describes a feature of a business grant?,,multiple
87,7,The number of owners in a sole trader business,,multiple
88,7,An advantage of being a sole trader,,multiple
89,7,A disadvantage of being a sole trader,,multiple
90,7,The type of liability for a sole trader,,multiple
91,7,The type of liability for a partnership,,multiple
92,7,What is the main advantage of being a sole trader?,,multiple
93,7,What is a partnership?,,multiple
94,7,What is a business that sells the right to use a business idea?,,multiple
95,7,Which of the following is NOT an advantage offered by a franchise?,,multiple
96,7,Who is a franchise bought by?,,multiple
97,7,Who has legal responsibility to settle debts in a company with unlimited liability?,,multiple
98,7,Which of the following best describes finance?,,multiple
99,8,The functional area responsible for recruiting employees,,multiple
100,8,The functional area responsible for carrying out market research,,multiple
101,8,The functional area responsible for training employees,,multiple
102,8,The functional area responsible for health & safety,,multiple
103,8,The functional area responsible for finding out customers' opinions,,multiple
104,8,The functional area responsible for gathering feedback from customers,,multiple
105,8,The functional area responsible for quality control,,multiple
106,8,The functional area responsible for stock control,,multiple
107,8,The functional area responsible for logistics,,multiple
108,8,The functional area responsible for planning how products will be manufactured,,multiple
109,8,The functional area responsible for budgeting,,multiple
110,8,The functional area responsible for preparing financial statements,,multiple
111,8,The functional area responsible for reporting on financial performance,,multiple
112,8,The functional area responsible for promotion,,multiple
113,8,The functional area responsible for performance management,,multiple
114,9,Market segmentation:,,multiple
115,9,Which of the following is not one of the four Ps of the marketing mix?,,multiple
116,9,Which of these is an example of a secondary source of market research?,,multiple
117,9,An internet-based travel agent sells expensive round-the-world cruises.  Which of the following market segments is the travel agent most likely to target?,,multiple
118,9,Which of the following is an ADVANTAGE of secondary market research?,,multiple
119,9,Which of the following methods of primary market research would be best for communicating with users of a popular website?,,multiple
120,9,Which of the following is a DISADVANTAGE of primary market research?,,multiple
121,9,Which of the following is NOT a method of promotion?,,multiple
122,9,"Burger King run a scratchcard competition in their stores with a range of instant prizes on offer from a free burger to £1,000 in cash.  This is an example of:",,multiple
123,9,A firm wishes to reach a wide audience who would otherwise not know about its products. Which method of promotion is likely to be most effective at achieving this,,multiple
124,9,"Cost-U-Less, a local frozen food superstore, agrees to provide financial support to a local women's football team provided that its name is shown on the team's jerseys. This is an example of:",,multiple
125,9,What is the name of the pricing strategy where a low price is set so that a firm can increase its share of the market?,,multiple
126,9,"A firm launches a new and unique product and decides to charge a high price to ""cream"" the market. What kind of pricing strategy is this an example of?",,multiple
127,10,The point at which the income received from selling a unit covers the cost of supplying it. This is often described as the point at which total revenue equals total costs. No profit or loss is made at this level of sales.,,multiple
128,10,An entrepreneur or investor that provides capital to a business in return for a share of the ownership.,,multiple
129,10,"A document that outlines the aims of a business and how it intends to achieve those aims. It is a plan which details the physical, human and financial planning, and the intended operations.",,multiple
130,10,The flow of money into (inflows) and out of (outflows) a business.,,multiple
131,10,"A pricing strategy that takes into account the prices charged by competitors in the same industry. For example, this strategy may be used by a toothpaste manufacturer where there are a large number of brands available to consumers but the features of the toothpaste remain fairly similar.",,multiple
132,10,A method of research where a business will test/sample a product with a group of selected consumers.,,multiple
133,10,A source of finance where a project is funded through contributions from a large number of people who all invest relatively small amounts of money.,,multiple
134,10,"A strategy used by a business to try and extend the product lifecycle when a product reaches the maturity stage. For example, a business may re-design their packaging to make it more appealing to consumers.",,multiple
135,10,"A cost that does not vary with output. For example, rent.",,multiple
136,10,"A method of research where a group of people are asked their views and opinions on a particular topic. For example, a drinks company launching a new drink may ask consumers about their views on the flavour and packaging of the product.",,multiple
137,10,"An agreement where a franchisor grants another party (the franchisee) the right to use its trade-name. For example, most petrol stations use a franchise agreement.",,multiple
138,10,The functional area of a business which is concerned with the welfare of employees.,,multiple
139,10,The legally binding responsibility to pay a debt,,multiple
140,10,The functional area of a business which involves the planning and movement of resources to achieve an objective.,,multiple
141,10,The functional area of a business which is concerned with identifying and satisfying customer needs.,,multiple
142,10,"The method of separating a market up into smaller customer segments. For example, separating the clothing market into gender and/or age groups.",,multiple
143,10,The functional area of a business which is concerned with the process of turning inputs into outputs.,,multiple
144,10,A business owned by 2 or more people who share the profits.,,multiple
145,10,A method of sales promotion at or near the place where a customer purchases products.,,multiple
146,10,"A method of research where a business will gather data from its source for its own specific reasons. For example, a business may use focus groups or customer trials to gain information about a product that is about to be launched.",,multiple
147,10,A pricing strategy where a business decides to set a low price initially in order to maximise the number of customers and then increases it over time. The strategy is often used to attract customers away from their normal brand.,,multiple
148,10,"A pricing strategy where a business decides to set a high price in order to maximise profits. The strategy is often used when a new, innovative product is launched.",,multiple
149,10,"A strategy used by a business to try and make a product stand out against competitors. It is an attempt to make the product look unique. For example, having a strong brand image is a method of product differentiation.",,multiple
150,10,The period of time in the life of a product - from its initial launch until it is eventually taken off the market.,,multiple
151,10,The difference between income and expenditure – the remaining money once all the costs of running a business have been paid.,,multiple
152,10,"A pricing strategy which is designed to cause an emotional reaction by consumers. Often a business decides to set the price at just below a rounded number in order to make it feel more attractive to consumers. For example, charging £299 instead of £300.",,multiple
153,10,"The income generated by a business. For example, sales, interest on savings, rent received.",,multiple
154,10,"A method of research where a business uses information that has already been gathered. For example, the use of sales data, government publications, purchased research material.",,multiple
155,10,"Methods by which people and organisations can create and share information. For example, social media websites.",,multiple
156,10,A form of business ownership where the firm is owned by one person.,,multiple
157,10,The sum of all the costs involved in the business operation i.e. fixed costs plus variable costs.,,multiple
158,10,"A cost that does vary with output. For example, the purchase of raw materials or components",,multiple
159,10,"An exclusive aspect of a product that differentiates it from its rivals. For example, a business may guarantee next day delivery.",,multiple
160,11,The point at which the income received from selling a unit covers the cost of supplying it. This is often described as the point at which total revenue equals total costs. No profit or loss is made at this level of sales.,,short_answer
161,11,An entrepreneur or investor that provides capital to a business in return for a share of the ownership.,,short_answer
162,11,"A document that outlines the aims of a business and how it intends to achieve those aims. It is a plan which details the physical, human and financial planning, and the intended operations.",,short_answer
163,11,The flow of money into (inflows) and out of (outflows) a business.,,short_answer
164,11,"A pricing strategy that takes into account the prices charged by competitors in the same industry. For example, this strategy may be used by a toothpaste manufacturer where there are a large number of brands available to consumers but the features of the toothpaste remain fairly similar.",,short_answer
165,11,A method of research where a business will test/sample a product with a group of selected consumers.,,short_answer
166,11,A source of finance where a project is funded through contributions from a large number of people who all invest relatively small amounts of money.,,short_answer
167,11,"A strategy used by a business to try and extend the product lifecycle when a product reaches the maturity stage. For example, a business may re-design their packaging to make it more appealing to consumers.",,short_answer
168,11,"A cost that does not vary with output. For example, rent.",,short_answer
169,11,"A method of research where a group of people are asked their views and opinions on a particular topic. For example, a drinks company launching a new drink may ask consumers about their views on the flavour and packaging of the product.",,short_answer
170,11,"An agreement where a franchisor grants another party (the franchisee) the right to use its trade-name. For example, most petrol stations use a franchise agreement.",,short_answer
171,11,The functional area of a business which is concerned with the welfare of employees.,,short_answer
172,11,The legally binding responsibility to pay a debt,,short_answer
173,11,The functional area of a business which involves the planning and movement of resources to achieve an objective.,,short_answer
174,11,The functional area of a business which is concerned with identifying and satisfying customer needs.,,short_answer
175,11,"The method of separating a market up into smaller customer segments. For example, separating the clothing market into gender and/or age groups.",,short_answer
176,11,The functional area of a business which is concerned with the process of turning inputs into outputs.,,short_answer
177,11,A business owned by 2 or more people who share the profits.,,short_answer
178,11,A method of sales promotion at or near the place where a customer purchases products.,,short_answer
179,11,"A method of research where a business will gather data from its source for its own specific reasons. For example, a business may use focus groups or customer trials to gain information about a product that is about to be launched.",,short_answer
180,11,A pricing strategy where a business decides to set a low price initially in order to maximise the number of customers and then increases it over time. The strategy is often used to attract customers away from their normal brand.,,short_answer
181,11,"A pricing strategy where a business decides to set a high price in order to maximise profits. The strategy is often used when a new, innovative product is launched.",,short_answer
182,11,"A strategy used by a business to try and make a product stand out against competitors. It is an attempt to make the product look unique. For example, having a strong brand image is a method of product differentiation.",,short_answer
183,11,The period of time in the life of a product - from its initial launch until it is eventually taken off the market.,,short_answer
184,11,The difference between income and expenditure – the remaining money once all the costs of running a business have been paid.,,short_answer
185,11,"A pricing strategy which is designed to cause an emotional reaction by consumers. Often a business decides to set the price at just below a rounded number in order to make it feel more attractive to consumers. For example, charging £299 instead of £300.",,short_answer
186,11,"The income generated by a business. For example, sales, interest on savings, rent received.",,short_answer
187,11,"A method of research where a business uses information that has already been gathered. For example, the use of sales data, government publications, purchased research material.",,short_answer
188,11,"Methods by which people and organisations can create and share information. For example, social media websites.",,short_answer
189,11,A form of business ownership where the firm is owned by one person.,,short_answer
190,11,The sum of all the costs involved in the business operation i.e. fixed costs plus variable costs.,,short_answer
191,11,"A cost that does vary with output. For example, the purchase of raw materials or components",,short_answer
192,11,"An exclusive aspect of a product that differentiates it from its rivals. For example, a business may guarantee next day delivery.",,short_answer
193,12,Which of the following best describes 'quality'?,,multiple
194,12,Who needs to be satisfied with the quality of products?,,multiple
195,12,Which of the following is usually true about poor quality products?,,multiple
196,12,What happens when a business produces faulty goods?,,multiple
197,12,A business checks products after they are made. What is this an example of?,,multiple
198,12,What is customer service?,,multiple
199,12,"When products are checked at each stage of production, what is this an example of?",,multiple
200,12,What do most customers buying budget products expect?,,multiple
201,12,What is the best method of improving quality?,,multiple
202,13,What is the term for having more than one wife?,,short_answer
203,13,True or False: Crazy Bull was a famous Native American chief.,,multiple
204,13,True or False: One of the biggest Plains Indians tribes was the Sioux.,,multiple
205,13,How would you become part of a brotherhood?,,multiple
206,13,What animal did the Native Americans use as a sign of wealth?,,short_answer
207,13,How many buffalo skins did an average tipi use?,,short_answer
208,13,What did the Plains Indians do to their enemy to make sure they didn't make it to the Happy Hunting Ground?,,short_answer
209,13,What would Plains Indians warrior use to perform counting coup in warfare?,,short_answer
210,13,What was the name of the Great Spirit?,,short_answer
211,13,What US government policy was introduced in 1834 that separated Plains Indians land from US territory?,,short_answer
212,13,"When the US won the war with Mexico in 1848, where did the US gain territory?",,short_answer
213,13,What year was the Oregon Trail opened?,,short_answer
214,13,The Indian Appropriations Act was passed in 1851.  Name the Treaty that was also signed in that year.,,short_answer
215,13,True or False: The US government policy towards the Plains Indians was to keep them separate from white Americans.,,multiple
216,13,What year did Texas become part of the USA?,,short_answer
217,13,True or False: Plains Indians lived a settled lifestyle and enjoyed farming the land.,,multiple
218,13,True or False: Plains Indians only used the meat and hides of the buffalo.,,multiple
219,13,What mountain region was sacred land to the Plains Indians.,,short_answer
220,13,What did Plains Indians believe about the land?,,short_answer
221,13,True or False: Plains Indians practiced exposure where they would leave the elderly behind if they were holding the tribe back.,,multiple
222,13,"Put the following events in order: Indian Appropriations Act, Fort Laramie Treaty, War with Mexico, Permanent Indian Frontier",,multiple
223,13,True or False: Manifest Destiny was the Plains Indians belief that white Americans had the god given right to settle the Plains.,,multiple
224,13,In what year was gold discovered in California?,,short_answer
225,13,In what year was the financial crisis in the east?,,short_answer
226,13,Which group of people had to resort to cannibalism to survive the journey west?,,short_answer
227,13,Which group of people migrated to the Great Salt Lake?,,short_answer
228,13,Who was the first leader of the Mormons?,,short_answer
229,13,Who led the Mormons in their migration west and when settling at the Great Salt Lake?,,short_answer
230,13,True or False: The Plains Indians believed that all living things had spirits of their own.,,multiple
231,13,True or False: The Plains Indians believed that owning land was important.,,multiple
232,13,True or False: The Plains Indians believed that it was not cowardly to run away when you were outnumbered in a fight.,,multiple
233,13,True or False: The Plains Indians depended on the buffalo for their way of life.,,multiple
234,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: Stories told by Mountain Men about the land beyond the Rockies",,multiple
235,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: The Donner Party were stranded in the Rockies",,multiple
236,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: The economic depression in the East, beginning in 1837",,multiple
237,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: California became a state of the Union in 1850",,multiple
238,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: Reservations were set up to provide protection for the Plains Indians",,multiple
239,13,"Is this statement a cause, event or effect of migration and early settlement in the period 1835-51: Victory over Mexico opened California to American settlers",,multiple
240,13,What did Brigham Young set up during the Mormon migration west to ensure the Mormons could survive the winter?,,short_answer
241,13,What caused the Mormons to leave Illinois in 1845 to travel west?,,multiple
242,13,True or False: Homesteaders had plenty of water and as a result found it easy to grow crops on the Plains.,,multiple
243,13,True or False: A lack of wood on the Plains was a critical problem for the Plains Indians.,,multiple
244,13,What year was the first Fort Laramie Treaty agreed?,,short_answer
245,13,True or False: A consequence of the Fort Laramie Treaty (1851) was that Plains Indians tribes became reliant on government rations,,multiple
246,13,What was a road agent?,,multiple
247,13,Read the following definition and identify the key word: A police officer in charge of a district.  A federal law officer appointed to an area.,,multiple
248,13,Read the following definition and identify the key word: A group of men called together by a sheriff or marshal to help him in enforcing the law.,,multiple
249,13,"Read the following definition and identify the key word: An elected law officer with responsibility of keeping the peace in his area and carrying out orders of a law court, issuing warrants and delivering prisoners to jail",,multiple
250,13,True or False: The US law enforcement system maintained law and order effectively in mining towns.,,multiple
251,13,True or False: Vigilance committees were effective in dealing with problems of law and order in mining towns.,,multiple
252,13,Where is the American West?,,multiple
253,13,What was the American West also known as?,,multiple
254,13,The Plains Indians were made up of many different tribes?,,multiple
255,13,Who were chiefs?,,multiple
256,13,Each tribe would only have one chief?,,multiple
257,13,What were Warrior brotherhoods?,,multiple
258,13,What was a woman's job in Plains Indians society?,,multiple
259,13,Name a method that Indians used to show their bravery.,,multiple
260,13,Name a famous Indian Chief,,multiple
261,13,What are “nomads”?,,multiple
262,13,What were the problems with with traveling across the Oregon Trail?,,multiple
263,13,What is the name of the group of people who got stuck in the Sierra Nevada Mountains in winter and resorted in cannibalism to survive? ,,multiple
264,13,Where did the Mormons eventually go a live?,,multiple
265,13,The discovery of gold in California meant tens of thousands of white migrants travelled along the Oregon Trail in 1849 and 1850. This caused problems for the Plains Indians because...,,multiple
266,13,What was the Fort Laramie Treaty's main aim?,,multiple
267,14,What was the Privy Council?,,multiple
268,14,Identify two features of the Privy Council.,,multiple
269,14,Which member of the Privy Council was Elizabeth I's most trusted advisor,,short_answer
270,14,Identify two roles performed by Parliament in Elizabethan England.,,multiple
271,14,Why was Elizabeth I called the 'Virgin Queen',,multiple
272,14,True or False: People in Elizabethan England found it totally acceptable for a woman to rule alone.,,multiple
273,14,"How was Mary, Queen of Scots related to Elizabeth I?",,short_answer
274,14,"Why did Mary, Queen of Scots have a legitimate claim to the English throne?",,multiple
275,14,What religion was Elizabeth I?,,short_answer
276,14,"What religion was Mary, Queen of Scots?",,short_answer
277,14,Which country did Scotland have an alliance with when Elizabeth I became queen?,,short_answer
278,14,Where did the French have troops stationed that could be a threat to Elizabeth I and England?,,short_answer
279,14,Which country was the most powerful in Europe and a significant threat to Elizabeth I?,,short_answer
280,14,How much debt was Elizabeth I in when she became queen in 1558?,,short_answer
281,14,What year did Elizabeth I introduce the religious settlement?,,short_answer
282,14,Identify two features of the Protestant religion.,,multiple
283,14,Identify two features of the Catholic religion.,,multiple
284,14,Identify two features of the Puritan religion.,,multiple
285,14,What part of the religious settlement was designed to enforce it?,,short_answer
286,14,"Who was Mary, Queen of Scots married to in her second marriage?",,short_answer
287,14,"Why did Mary, Queen of Scots flee from Scotland and come to England?",,multiple
288,14,"True or False: Mary, Queen of Scots and Elizabeth I never met in person.",,multiple
289,14,What role did Sir William Cecil have in Elizabeth I's government?,,short_answer
290,14,Identify which part of Elizabethan government was responsible for the following: Granting extraordinary taxation,,multiple
291,14,Identify which part of Elizabethan government was responsible for the following: Making sure the queens final decisions were carried out,,multiple
292,14,Identify which part of Elizabethan government was responsible for the following: Passing laws,,multiple
293,14,Purtians were completely satisfied with the religious settlement.,,multiple
294,14,Identify two features of the religious settlement that the Puritans didn't agree with.,,multiple
295,14,Why did Catholics see Elizabeth I as being illegitimate?,,multiple
296,14,What was the main religion in England when Elizabeth I became queen?,,short_answer
297,14,What was the main religion in the north of England when Elizabeth I became queen?,,short_answer
298,14,What Act of Parliament made Elizabeth the Supreme Governor of the Church?,,short_answer
299,14,The role of the Church of England was to control what was preached in churches across England.  True or False?,,multiple
300,14,The Catholics did not like the religious settlement because the Book of Common Prayer was vague.  True or False?,,multiple
301,14,How many bishops refused to sign the Oath of Supremacy?,,short_answer
302,14,In what year did the pope tell Catholics to stop going to church services?,,short_answer
303,14,What percentage of the nobility refused to attend the new church services?,,short_answer
304,14,What percentage of priests signed the oath of supremacy?,,short_answer
305,14,What religion was France during Elizabeth I's reign?,,short_answer
306,14,What was the Treaty of Troyes (1564)?,,multiple
307,14,Why did Elizabeth decide to suppoprt Protestant rebels in France in 1562?,,multiple
308,14,Which country ruled the Netherlands during Elizabeth's reign?,,short_answer
309,14,Why did Philip II ban the import of English cloth in the Netherlands in 1563?,,multiple
310,14,How did Elizabeth respond to Philip II banning the sale of English cloth in the Netherlands in 1563?,,multiple
311,14,What year was the Dutch Revolt?,,short_answer
312,14,True or False: The Dutch Revolt was a rebellion against Spanish rule in the Netherlands.,,multiple
313,14,"What year did Mary, Queen of Scots arrive in England?",,short_answer
314,14,True or False: Elizabeth did not get involved in the Dutch Revolt as she wanted to avoid war with Spain.,,multiple
315,14,"What was the name of Mary, Queen of Scots son?",,short_answer
316,15,The majority of people in the north of England during the Elizabethan period were which religion?,,multiple
317,15,What year did the Revolt of the Northern Earls take place?,,short_answer
318,15,True or False: The Northern Earls revolted because they wanted to return England to Catholicism,,multiple
319,15,"True or False: The Northern Earls revolted because Elizabeth named Mary, Queen of Scots her heir",,multiple
320,15,True or False: The Northern Earls revolted because they had a lot of influence in Elizabeth's court,,multiple
321,15,Who was being held in captivity in England that could replace Elizabeth I on the throne of England?,,multiple
322,15,Name the two Earls who led the Revolt of the Northern Earls.,,multiple
323,15,Which of the Earls took part in the revolt because they lost rights to a valuable copper mine that was found on his lands in 1567.,,multiple
324,15,What religion was the Earl of Westmorland?,,multiple
325,15,Which Protestant Duke took part in the Revolt of the Northern Earls?,,multiple
326,15,Which of the queen's favourites did the Duke of Norfolk dislike?,,multiple
327,15,"True or False: As part of the Revolt of the Northern Earls, the Duke of Norfolk was to marry Elizabeth I",,multiple
328,15,Who did Elizabeth I appoint as the archbishop of Durham in 1561?,,multiple
329,15,What religion was the archbishop of Durham that Elizabeth I appointed in 1561?,,multiple
330,15,Why did Elizabeth I appoint a Protestant archbishop in Durham in 1561?,,multiple
331,15,True or False: The Northern Earls revolted because they lost political influence under Elizabeth I.,,multiple
332,15,Which rival Protestant family took away the influence of the Catholic lords in the North?,,multiple
333,15,In which Cathedral did the Northern Earls perform mass as part of the revolt?,,multiple
334,15,What happened to the Duke of Norfolk due to his involvement in the Revolt of the Northern Earls?,,multiple
335,15,True or False: Spain offered support to the Revolt of the Northern Earls.,,multiple
336,15,How many men did Elizabeth I gather in her army to stop the Revolt of the Northern Earls?,,short_answer
337,15,How many rebels involved in the Revolt of the Northern Earls were executed across the North of England?,,multiple
338,15,What did the Pope do as a result of the failed rebellion by the Northern Earls?,,multiple
339,15,"True or False: The Revolt of the Northern Earls was significant because it was the first, most serious rebellious act by English Catholics against Elizabeth I",,multiple
340,15,True or False: The treason laws were not changed following the Revolt of the Northern Earls,,multiple
341,15,True or False: The Revolt of the Northern Earls prompted harsher treatment of Catholics,,multiple
342,15,Who did Elizabeth I send to lead the Council of the North following the Revolt of the Northern Earls?,,multiple
343,15,What revolt took place in 1571?,,short_answer
344,15,"True or False: The Ridolfi Plot aimed to murder Elizabeth, launch a Spanish invasion and put Mary, Queen of Scots on the throne",,multiple
345,15,"True or False: The Ridolfi Plot did not involve Mary, Queen of Scots and the Duke of Norfolk.",,multiple
346,15,True or False: Philip II of Spain was not involved in the Ridolfi Plot,,multiple
347,15,Who uncovered the Ridolfi Plot in 1571?,,short_answer
348,15,How did William Cecil uncover the Ridolfi Plot?,,multiple
349,15,What happened to the Duke of Norfolk after his involvement in the Ridolfi Plot?,,multiple
350,15,"True or False: Mary, Queen of Scots was executed following her involvement in the Ridolfi Plot",,multiple
351,15,True or False: The Ridolfi Plot showed the continued threat that Catholics at home and abroad presented Elizabeth,,multiple
352,15,"True or False: Due to Spain's support of the Ridolfi Plot, Elizabeth I made an effort to improve relations with France",,multiple
353,15,"True or False: After the Ridolfi Plot, English Catholics were kept under surveillance.",,multiple
354,15,In what year did parliament pass a law that fined recusants £20 ,,short_answer
355,15,Who was going to lead an army to invade England as part of the Throckmorton Plot?,,short_answer
356,15,What year did the Throckmorton Plot take place?,,short_answer
357,15,True or False: Those involved in the Throckmorton Plot wanted England to remain Protestant,,multiple
358,15,Which king offered financial support to the Throckmorton Plot?,,short_answer
359,15,True or False: The Pope did not support the Throckmorton Plot.,,multiple
360,15,Who uncovered the Throckmorton Plot in 1583?,,multiple
361,15,True or False: The Throckmorton Plot showed the threat of foreign Catholic powers,,multiple
362,15,"True or False: Papers found in Throckmorton's house contained a list of Catholic sympathisers, proving that there was an 'enemy within'",,multiple
363,15,How many Catholics were imprisoned following the Throckmorton Plot?,,short_answer
364,15,True or False: An Act of Parliament was passed in 1585 that made helping or sheltering Catholic priests punishable with death,,multiple
365,15,What Plot took place after the Throckmorton Plot?,,multiple
366,15,The Babington Plot was similar to which other plot?,,multiple
367,15,Who was going to lead an army to invade in England as part of the Babington Plot?,,short_answer
368,15,True or False: The pope and King Philip II of Spain both supported the Babington Plot.,,multiple
369,15,Who uncovered the Babington Plot in 1586?,,short_answer
370,15,Who was put on trial for her involvement in the Babington Plot?,,short_answer
371,15,"Who was it that tried Mary, Queen of Scots for her involvement in the Babington Plot?",,multiple
372,15,"What year was Mary, Queen of Scots executed?",,short_answer
373,15,"Mary, Queen of Scots was executed due to her involvement in which plot?",,multiple
374,15,True or False: The Babington was more of a threat to Elizabeth because relations between England and Spain had completely broken down,,multiple
375,15,How many Catholic priests were executed following the Babington Plot?,,short_answer
376,15,How many recusants were arrested as a result of the Babington Plot in North London alone?,,short_answer
377,15,True or False: Mary's execution ended any hope of Elizabeth being replaced by a Catholic heir.,,multiple
378,15,"What Act of Parliament was passed in 1585 that stated in the event of Elizabeth I's assassination, Mary, Queen of Scots was to be barred from the succession?",,multiple
379,15,Who believed that Spain was planning a major attack against England in 1587?,,multiple
380,15,"True or False: In 1587 Spanish troops had landed in Wales and Mary, Queen of Scots had escaped captivity",,multiple
381,15,Who became Eizabeth's Secretary of State in 1573?,,short_answer
382,15,Who was it that developed a network of spies and informers in England and abroad to protect Elizabeth?,,multiple
383,15,True or False: Walginsham made use of ciphers to hide his plans to catch those plotting against Elizabeth.,,multiple
384,15,What is a cipher?,,multiple
385,16,Why did English merchants struggle to develop trade during Elizabethan England?,,multiple
386,16,Who was it that controlled the New World in Elizabethan England?,,multiple
387,16,True or False: The New World was full of valuable resources such as tobacco and sugar cane and huge supplies of silver,,multiple
388,16,"If English merchants wanted to trade in the New World, what did they need?",,multiple
389,16,What did some merchants such as Francis Drake do in the New World to anger Philip II of Spain?,,multiple
390,16,Which English merchant made his name and fortune trading in the New World?,,multiple
391,16,How much Spanish silver did Drake capture from Panama?,,multiple
392,16,True or False: Elizabeth I invested in Drake's expeditions to the New World.,,multiple
393,16,What secret orders did Elizabeth give Drake? ,,multiple
394,16,What did Drake do in 1577-80?,,multiple
395,16,What was the name of the only ship Drake had left when he reached the Pacific?,,multiple
